geoid,households_total,households_0_10k,households_10_15k,households_15_20k,households_20_25k,households_25_30k,households_30_35k,households_35_40k,households_40_45k,households_45_50k,households_50_60k,households_60_75k,households_75_100k,households_100_125k,households_125_150k,households_150_200k,households_200k_plus
480050008001,1045,19,16,54,49,72,9,116,42,17,160,132,197,64,11,69,18
480050008002,412,16,22,0,20,0,0,18,58,0,53,82,70,35,15,15,8
480050008003,531,52,0,0,128,20,44,16,46,0,54,30,46,78,0,0,17
480050008004,373,0,48,40,0,16,74,57,0,0,29,81,0,28,0,0,0
480050009011,912,20,9,38,51,31,51,0,25,168,21,17,53,151,43,52,182
480050009012,562,54,13,21,29,27,17,0,9,28,65,86,119,94,0,0,0
480050009013,527,81,0,48,20,38,35,0,14,31,119,23,71,47,0,0,0
480050009014,694,37,80,134,47,33,11,0,13,23,56,75,87,65,8,0,25
480050009021,1310,73,74,33,97,33,39,11,75,21,68,109,185,150,69,126,147
480050009022,374,37,34,32,35,11,16,11,0,40,13,99,13,22,0,11,0
480050010011,480,83,5,25,20,38,13,55,12,3,26,50,43,75,11,21,0
480050010012,475,32,0,41,0,84,20,18,9,28,112,29,61,12,22,7,0
480050010013,385,82,74,32,16,49,24,0,0,0,30,41,30,0,0,0,7
480050010021,956,71,56,22,32,34,34,59,60,51,178,52,200,31,19,40,17
480050010022,451,20,81,37,8,34,0,56,24,67,17,26,56,8,6,11,0
480050011001,926,98,14,97,35,60,78,35,13,0,30,120,172,114,46,0,14
480050011002,1191,102,18,57,50,44,15,44,28,4,115,115,302,134,97,18,48
480050011003,242,29,10,42,38,15,28,9,0,9,16,35,11,0,0,0,0
480050012001,524,56,22,21,80,48,12,42,7,0,28,69,39,68,0,32,0
480050012002,222,16,8,14,2,24,9,46,0,5,38,14,7,13,0,26,0
480050012003,299,30,4,35,96,8,12,24,17,0,7,29,8,13,0,9,7
480050013001,683,83,74,48,23,67,9,34,8,75,68,44,102,16,3,29,0
480050013002,677,0,27,91,119,68,67,24,62,14,75,0,43,9,0,78,0
480050013003,451,22,18,54,14,14,13,0,42,17,103,35,61,40,18,0,0
480079501001,624,35,47,56,159,22,0,79,21,0,49,0,52,53,17,0,34
480079501002,640,77,18,19,32,104,22,13,35,67,64,31,27,42,35,33,21
480079501003,711,30,77,40,50,72,75,68,32,9,65,31,88,22,19,29,4
480079501004,140,0,0,0,20,30,18,0,13,0,15,29,0,15,0,0,0
480079501005,203,0,30,20,34,2,0,0,9,0,29,27,26,3,10,8,5
480079502001,206,5,0,7,0,0,20,10,0,0,6,5,31,14,24,16,68
480079502002,379,14,10,0,21,11,6,26,14,0,11,86,59,50,32,22,17
480079503001,1019,0,20,32,63,54,89,13,60,47,30,108,94,115,62,141,91
480079503002,496,50,16,16,35,17,18,0,0,0,60,117,78,58,0,0,31
480079503003,588,31,0,40,0,62,91,23,62,0,29,75,101,25,0,49,0
480079503004,403,0,57,16,0,0,64,64,22,0,0,79,47,0,26,0,28
480079504001,623,149,70,56,41,67,27,30,8,11,45,30,23,46,12,8,0
480079504002,402,23,56,28,8,30,9,10,47,10,27,57,33,49,15,0,0
480079504003,505,81,19,22,16,23,24,11,39,11,70,56,6,32,39,40,16
480079505001,1121,129,45,121,54,95,0,0,152,46,151,122,10,167,13,16,0
480079505002,178,0,0,0,0,0,0,42,11,0,43,0,0,16,16,19,31
480079505003,364,106,28,46,15,27,0,50,0,16,0,18,0,0,0,17,41
480079505004,927,87,90,90,16,20,65,92,20,47,84,35,101,39,38,35,68
480079900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480090201001,616,4,2,4,11,8,26,19,8,12,51,82,177,70,35,57,50
480090201002,459,0,49,0,6,16,62,5,8,12,7,33,56,131,41,19,14
480090202001,352,21,15,6,12,46,8,11,29,12,35,27,100,10,2,5,13
480090202002,305,11,28,36,4,28,39,1,4,11,43,20,31,26,19,0,4
480090202003,337,23,20,10,15,49,15,20,16,0,0,45,46,33,5,31,9
480090203001,463,25,36,19,18,18,7,2,37,24,25,45,66,58,37,23,23
480090203002,291,24,18,10,23,13,29,0,11,13,0,46,43,0,38,6,17
480090203003,246,12,6,29,15,13,14,19,3,27,8,17,26,31,8,18,0
480090203004,282,10,48,24,37,25,18,18,0,0,27,37,18,13,7,0,0
480119501001,192,3,20,6,13,2,7,0,9,9,3,20,38,20,31,9,2
480119501002,326,2,11,11,9,18,14,9,4,6,49,55,35,32,16,52,3
480119501003,184,13,3,9,13,4,8,13,2,11,15,23,16,31,6,3,14
480139601001,529,0,0,43,0,50,18,0,0,109,21,62,88,14,0,57,67
480139601002,1010,32,8,65,35,80,12,14,45,79,68,59,268,87,97,61,0
480139601003,737,117,47,125,46,100,50,0,0,0,86,24,95,33,0,14,0
480139601004,420,51,0,0,0,46,15,0,19,73,0,26,39,42,0,41,68
480139602011,461,5,0,26,18,13,38,6,5,22,54,16,138,27,18,56,19
480139602012,393,15,30,24,13,78,9,2,11,29,11,81,34,20,7,16,13
480139602013,1229,22,57,42,37,40,73,72,90,41,151,145,192,104,27,59,77
480139602021,970,98,57,16,87,40,27,78,174,61,106,47,91,71,17,0,0
